"Source (pattern)" KnuthMorrisPratt BoyerMoore RabinKarp Bitap
"Les Miserable (a)" 952.141 971.56 975.374 960.418
"Les Miserable (and)" 969.595 405.356 127.241 945.451
"Les Miserable (of)" 958.782 545.239 124.295 956.232
"Les Miserable (the)" 1015.1 457.257 146.712 941.768
"Les Miserable (to)" 988.623 584.266 130.582 944.099
"logs (06)" 3051.73 1787 460.391 2886.74
"logs (12)" 3168.16 1806.03 493.968 3032.38
"logs (168)" 3186.86 1265.12 464.455 3017.15
"logs (19)" 3159.77 1591.5 1576.77 3036.03
"logs (192)" 3190.05 1343.64 469.178 3000.45
"social (believe)" 6185.76 1258.37 817.017 6271.01
"social (happened)" 6501.27 1189.69 913.474 6349.57
"social (sad)" 6566.37 2442.03 867.169 6313
"social (t)" 6269.8 6343.89 3103.45 6380.01
"social (this)" 6047.23 2147.69 940.836 6015.05
